mut_types,mut_layer_name,mut_result
LA,aspp.aspp1.aspp_conv.2,True
LA,aspp.aspp_pooling.conv.2,True
LA,aspp.aspp4.aspp_conv.2,True
LA,no,LA set layers failure
LA,aspp.aspp2.aspp_conv.2,True
LA,aspp.aspp4.aspp_conv.2,True
LA,aspp.aspp2.aspp_conv.2,True
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,aspp.aspp_pooling.conv.2,True
LA,aspp.bn1,True
LA,aspp.aspp3.aspp_conv.2,True
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,aspp.aspp3.aspp_conv.2,True
LA,no,LA set layers failure
LA,aspp.aspp_pooling.conv.2,True
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,aspp.aspp2.aspp_conv.2,True
LA,aspp.relu,True
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,aspp.aspp_pooling.conv.2,True
LA,aspp.aspp_pooling.conv.2,True
LA,aspp.aspp1.aspp_conv.2,True
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,aspp.aspp2.aspp_conv.2,True
LA,aspp.aspp3.aspp_conv.2,True
LA,aspp.aspp2.aspp_conv.2,True
LA,no,False
LA,aspp.aspp4.aspp_conv.2,True
LA,aspp.aspp3.aspp_conv.2,True
LA,no,LA set layers failure
LA,aspp.aspp4.aspp_conv.2,True
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,aspp.bn1,True
LA,aspp.aspp1.aspp_conv.2,True
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,no,False
LA,aspp.aspp2.aspp_conv.2,True
LA,no,LA set layers failure
LA,no,False
LA,no,False
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,aspp.aspp1.aspp_conv.2,True
LA,no,LA set layers failure
LA,aspp.bn1,True
LA,aspp.aspp2.aspp_conv.2,True
LA,no,False
LA,no,LA set layers failure
LA,no,False
LA,aspp.aspp2.aspp_conv.2,True
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,aspp.aspp1.aspp_conv.2,True
LA,aspp.bn1,True
LA,aspp.aspp_pooling.conv.2,True
LA,no,LA set layers failure
LA,aspp.bn1,True
LA,aspp.aspp4.aspp_conv.2,True
LA,aspp.aspp1.aspp_conv.2,True
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,aspp.aspp1.aspp_conv.2,True
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,aspp.bn1,True
LA,no,False
LA,aspp.aspp3.aspp_conv.2,True
LA,aspp.bn1,True
LA,aspp.aspp_pooling.conv.2,True
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,aspp.aspp_pooling.conv.2,True
LA,no,LA set layers failure
LA,no,False
LA,no,LA set layers failure
LA,aspp.aspp2.aspp_conv.2,True
LA,no,LA set layers failure
LA,aspp.aspp2.aspp_conv.2,True
LA,no,LA set layers failure
LA,aspp.aspp4.aspp_conv.2,True
LA,aspp.relu,True
LA,no,LA set layers failure
LA,aspp.aspp3.aspp_conv.2,True
LA,no,False
LA,no,LA set layers failure
LA,aspp.aspp3.aspp_conv.2,True
