mut_types,mut_layer_name,mut_result
LD,decoded.8,True
LD,decoded.12,True
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
